X_Coordinate,Y_Coordinate,GlacierName,GlacierID
-220925,-2269175,Alison Glacer,A
-220925,-2269925,Alison Glacer,A
-220925,-2270675,Alison Glacer,A
-220925,-2271425,Alison Glacer,A
-220925,-2272175,Alison Glacer,A
-220925,-2272925,Alison Glacer,A
-220925,-2273675,Alison Glacer,A
-220925,-2274425,Alison Glacer,A
-220925,-2281925,Alison Glacer,A
-220925,-2282675,Alison Glacer,A
-220925,-2283425,Alison Glacer,A
-220925,-2284175,Alison Glacer,A
-220925,-2284925,Alison Glacer,A
-220925,-2285675,Alison Glacer,A
-220925,-2286425,Alison Glacer,A
-220925,-2287175,Alison Glacer,A
-220925,-2287925,Alison Glacer,A
-220925,-2288675,Alison Glacer,A
-220925,-2289425,Alison Glacer,A
-220925,-2290175,Alison Glacer,A
-220925,-2290925,Alison Glacer,A
-220925,-2292425,Alison Glacer,A
-220925,-2293175,Alison Glacer,A
-220925,-2293925,Alison Glacer,A
-220925,-2294675,Alison Glacer,A
-220925,-2295425,Alison Glacer,A
-220175,-2257175,Alison Glacer,A
-220175,-2257925,Alison Glacer,A
-220175,-2259425,Alison Glacer,A
-220175,-2260175,Alison Glacer,A
-220175,-2260925,Alison Glacer,A
-220175,-2261675,Alison Glacer,A
-220175,-2262425,Alison Glacer,A
-220175,-2263175,Alison Glacer,A
-220175,-2263925,Alison Glacer,A
-220175,-2264675,Alison Glacer,A
-220175,-2265425,Alison Glacer,A
-220175,-2266175,Alison Glacer,A
-220175,-2266925,Alison Glacer,A
-220175,-2267675,Alison Glacer,A
-220175,-2268425,Alison Glacer,A
-220175,-2269175,Alison Glacer,A
-220175,-2269925,Alison Glacer,A
-220175,-2270675,Alison Glacer,A
-220175,-2271425,Alison Glacer,A
-220175,-2272175,Alison Glacer,A
-220175,-2272925,Alison Glacer,A
-220175,-2273675,Alison Glacer,A
-220175,-2274425,Alison Glacer,A
-220175,-2275175,Alison Glacer,A
-220175,-2275925,Alison Glacer,A
-220175,-2276675,Alison Glacer,A
-220175,-2277425,Alison Glacer,A
-220175,-2282675,Alison Glacer,A
-220175,-2283425,Alison Glacer,A
-220175,-2284175,Alison Glacer,A
-220175,-2284925,Alison Glacer,A
-220175,-2285675,Alison Glacer,A
-220175,-2286425,Alison Glacer,A
-220175,-2287175,Alison Glacer,A
-220175,-2287925,Alison Glacer,A
-220175,-2293925,Alison Glacer,A
-220175,-2294675,Alison Glacer,A
-220175,-2295425,Alison Glacer,A
-219425,-2255675,Alison Glacer,A
-219425,-2256425,Alison Glacer,A
-219425,-2257175,Alison Glacer,A
-219425,-2257925,Alison Glacer,A
-219425,-2258675,Alison Glacer,A
-219425,-2259425,Alison Glacer,A
-219425,-2260175,Alison Glacer,A
-219425,-2260925,Alison Glacer,A
-219425,-2261675,Alison Glacer,A
-219425,-2262425,Alison Glacer,A
-219425,-2263175,Alison Glacer,A
-219425,-2263925,Alison Glacer,A
-219425,-2264675,Alison Glacer,A
-219425,-2265425,Alison Glacer,A
-219425,-2266175,Alison Glacer,A
-219425,-2266925,Alison Glacer,A
-219425,-2267675,Alison Glacer,A
-219425,-2268425,Alison Glacer,A
-219425,-2269175,Alison Glacer,A
-219425,-2269925,Alison Glacer,A
-219425,-2270675,Alison Glacer,A
-219425,-2271425,Alison Glacer,A
-219425,-2272175,Alison Glacer,A
-219425,-2272925,Alison Glacer,A
-219425,-2273675,Alison Glacer,A
-219425,-2274425,Alison Glacer,A
-219425,-2275175,Alison Glacer,A
-219425,-2275925,Alison Glacer,A
-219425,-2276675,Alison Glacer,A
-219425,-2277425,Alison Glacer,A
-219425,-2283425,Alison Glacer,A
-219425,-2284175,Alison Glacer,A
-219425,-2284925,Alison Glacer,A
-219425,-2285675,Alison Glacer,A
-219425,-2286425,Alison Glacer,A
-219425,-2287175,Alison Glacer,A
-219425,-2293925,Alison Glacer,A
-219425,-2294675,Alison Glacer,A
-219425,-2295425,Alison Glacer,A
-218675,-2254175,Alison Glacer,A
-218675,-2254925,Alison Glacer,A
-218675,-2255675,Alison Glacer,A
-218675,-2256425,Alison Glacer,A
-218675,-2257175,Alison Glacer,A
-218675,-2257925,Alison Glacer,A
-218675,-2258675,Alison Glacer,A
-218675,-2259425,Alison Glacer,A
-218675,-2260175,Alison Glacer,A
-218675,-2260925,Alison Glacer,A
-218675,-2261675,Alison Glacer,A
-218675,-2262425,Alison Glacer,A
-218675,-2263175,Alison Glacer,A
-218675,-2263925,Alison Glacer,A
-218675,-2264675,Alison Glacer,A
-218675,-2265425,Alison Glacer,A
-218675,-2266175,Alison Glacer,A
-218675,-2266925,Alison Glacer,A
-218675,-2267675,Alison Glacer,A
-218675,-2268425,Alison Glacer,A
-218675,-2269175,Alison Glacer,A
-218675,-2269925,Alison Glacer,A
-218675,-2270675,Alison Glacer,A
-218675,-2271425,Alison Glacer,A
-218675,-2272175,Alison Glacer,A
-218675,-2272925,Alison Glacer,A
-218675,-2273675,Alison Glacer,A
-218675,-2274425,Alison Glacer,A
-218675,-2283425,Alison Glacer,A
-218675,-2284175,Alison Glacer,A
-218675,-2284925,Alison Glacer,A
-218675,-2285675,Alison Glacer,A
-218675,-2286425,Alison Glacer,A
